,accuracy,precision,recall,f1-score,support
H31_1,0.6375,0.6375859912445279,0.6375,0.6374433505235194,80.0
H31_2,0.7,0.702020202020202,0.7,0.6992481203007519,80.0
R2_1,0.6125,0.6125703564727955,0.6125,0.6124394436630723,80.0
R2_2,0.6375,0.6375859912445279,0.6375,0.6374433505235194,80.0
R3,0.65,0.650375939849624,0.65,0.6497811131957474,80.0
R4_1,0.675,0.6923076923076923,0.675,0.6675191815856778,80.0
R4_2,0.6842105263157895,0.6847222222222222,0.6842105263157895,0.683991683991684,76.0
R5_1,0.775,0.775,0.775,0.775,80.0
R5_2,0.675,0.6790281329923274,0.675,0.6731615336266499,80.0
