,accuracy,precision,recall,f1-score,support
H31_1,0.5125,0.5865800865800865,0.5125,0.37984496124031003,80.0
H31_2,0.5125,0.5865800865800865,0.5125,0.37984496124031003,80.0
R2_1,0.525,0.7564102564102564,0.525,0.38660209846650523,80.0
R2_2,0.4875,0.4134199134199134,0.4875,0.34804213873981316,80.0
R3,0.5125,0.5533333333333333,0.5125,0.39710144927536234,80.0
R4_1,0.5375,0.7597402597402597,0.5375,0.41164778374080696,80.0
R4_2,0.5263157894736842,0.5698529411764706,0.5263157894736842,0.4388843314191961,76.0
R5_1,0.5,0.5,0.5,0.354317998385795,80.0
R5_2,0.55,0.7631578947368421,0.55,0.43573667711598746,80.0
