,accuracy,precision,recall,f1-score,support
H31_1,0.7125,0.7158730158730159,0.7125,0.7113725490196078,80.0
H31_2,0.725,0.7255639097744361,0.725,0.7248280175109443,80.0
R2_1,0.7,0.702020202020202,0.7,0.6992481203007519,80.0
R2_2,0.7375,0.7388434946574481,0.7375,0.7371303395399782,80.0
R3,0.7,0.7005012531328321,0.7,0.6998123827392121,80.0
R4_1,0.6875,0.6885606536769326,0.6875,0.6870599280237835,80.0
R4_2,0.75,0.7515679442508711,0.75,0.7496098491416681,76.0
R5_1,0.775,0.7813299232736572,0.775,0.7737272155876807,80.0
R5_2,0.75,0.7557544757033248,0.75,0.748585795097423,80.0
